ICD-10-WHO_Code,Description,Last_Updated
A519,"Early syphilis, unspecified",2020-10-13
A52,,2020-10-13
A520,Cardiovascular syphilis,2020-10-13
A521,Symptomatic neurosyphilis,2020-10-13
A522,Asymptomatic neurosyphilis,2020-10-13
A523,"Neurosyphilis, unspecified",2020-10-13
A527,Other symptomatic late syphilis,2020-10-13
A528,"Late syphilis, latent",2020-10-13
A529,"Late syphilis, unspecified",2020-10-13
A53,,2020-10-13
A530,"Latent syphilis, unspecified as early or late",2020-10-13
A539,"Syphilis, unspecified",2020-10-13
A54,,2020-10-13
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,2020-10-13
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2020-10-13
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2020-10-13
A543,Gonococcal infection of eye,2020-10-13
A544,Gonococcal infection of musculoskeletal system,2020-10-13
A545,Gonococcal pharyngitis,2020-10-13
A546,Gonococcal infection of anus and rectum,2020-10-13
A548,Other gonococcal infections,2020-10-13
A549,"Gonococcal infection, unspecified",2020-10-13
A55,,2020-10-13
A56,,2020-10-13
A560,Chlamydial infection of lower genitourinary tract,2020-10-13
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,2020-10-13
A562,"Chlamydial infection of genitourinary tract, unspecified",2020-10-13
A563,Chlamydial infection of anus and rectum,2020-10-13
A564,Chlamydial infection of pharynx,2020-10-13
A568,Sexually transmitted chlamydial infection of other sites,2020-10-13
A57,,2020-10-13
A58,,2020-10-13
A59,,2020-10-13
A590,Urogenital trichomoniasis,2020-10-13
A598,Trichomoniasis of other sites,2020-10-13
A599,"Trichomoniasis, unspecified",2020-10-13
A60,,2020-10-13
A600,Herpesviral infection of genitalia and urogenital tract,2020-10-13
A601,Herpesviral infection of perianal skin and rectum,2020-10-13
A609,"Anogenital herpesviral infection, unspecified",2020-10-13
A63,,2020-10-13
A630,Anogenital (venereal) warts,2020-10-13
A638,Other specified predominantly sexually transmitted diseases,2020-10-13
A64,,2020-10-13
A65,,2020-10-13
A66,,2020-10-13
A660,Initial lesions of yaws,2020-10-13
A661,Multiple papillomata and wet crab yaws,2020-10-13
A662,Other early skin lesions of yaws,2020-10-13
A663,Hyperkeratosis of yaws,2020-10-13
A664,Gummata and ulcers of yaws,2020-10-13
A665,Gangosa,2020-10-13
A666,Bone and joint lesions of yaws,2020-10-13
A667,Other manifestations of yaws,2020-10-13
A668,Latent yaws,2020-10-13
A669,"Yaws, unspecified",2020-10-13
A67,,2020-10-13
A670,Primary lesions of pinta,2020-10-13
A671,Intermediate lesions of pinta,2020-10-13
A672,Late lesions of pinta,2020-10-13
A673,Mixed lesions of pinta,2020-10-13
A679,"Pinta, unspecified",2020-10-13
A68,,2020-10-13
A680,Louse-borne relapsing fever,2020-10-13
A681,Tick-borne relapsing fever,2020-10-13
A689,"Relapsing fever, unspecified",2020-10-13
A69,,2020-10-13
A690,Necrotizing ulcerative stomatitis,2020-10-13
A691,Other Vincent infections,2020-10-13
A692,Lyme disease,2020-10-13
A698,Other specified spirochaetal infections,2020-10-13
A699,"Spirochaetal infection, unspecified",2020-10-13
A70,,2020-10-13
A71,,2020-10-13
A710,Initial stage of trachoma,2020-10-13
A711,Active stage of trachoma,2020-10-13
A719,"Trachoma, unspecified",2020-10-13
A74,,2020-10-13
A740,Chlamydial conjunctivitis,2020-10-13
A748,Other chlamydial diseases,2020-10-13
A749,"Chlamydial infection, unspecified",2020-10-13
A75,,2020-10-13
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,2020-10-13
A751,Recrudescent typhus [Brill disease],2020-10-13
A752,Typhus fever due to Rickettsia typhi,2020-10-13
A753,Typhus fever due to Rickettsia tsutsugamushi,2020-10-13
A759,"Typhus fever, unspecified",2020-10-13
A77,,2020-10-13
A770,Spotted fever due to Rickettsia rickettsii,2020-10-13
A771,Spotted fever due to Rickettsia conorii,2020-10-13
A772,Spotted fever due to Rickettsia sibirica,2020-10-13
A773,Spotted fever due to Rickettsia australis,2020-10-13
A778,Other spotted fevers,2020-10-13
A779,"Spotted fever, unspecified",2020-10-13
A78,,2020-10-13
A79,,2020-10-13
A790,Trench fever,2020-10-13
A791,Rickettsialpox due to Rickettsia akari,2020-10-13
A798,Other specified rickettsioses,2020-10-13
A799,"Rickettsiosis, unspecified",2020-10-13
A80,,2020-10-13
A800,"Acute paralytic poliomyelitis, vaccine-associated",2020-10-13
A801,"Acute paralytic poliomyelitis, wild virus, imported",2020-10-13
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",2020-10-13
A803,"Acute paralytic poliomyelitis, other and unspecified",2020-10-13
A804,Acute nonparalytic poliomyelitis,2020-10-13
A809,"Acute poliomyelitis, unspecified",2020-10-13
A81,,2020-10-13
A810,Creutzfeldt-Jakob disease,2020-10-13
A811,Subacute sclerosing panencephalitis,2020-10-13
A812,Progressive multifocal leukoencephalopathy,2020-10-13
A818,Other atypical virus infections of central nervous system,2020-10-13
A819,"Atypical virus infection of central nervous system, unspecified",2020-10-13
A82,,2020-10-13
A820,Sylvatic rabies,2020-10-13
A821,Urban rabies,2020-10-13
A829,"Rabies, unspecified",2020-10-13
A83,,2020-10-13
A830,Japanese encephalitis,2020-10-13
A831,Western equine encephalitis,2020-10-13
A832,Eastern equine encephalitis,2020-10-13
A833,St Louis encephalitis,2020-10-13
A834,Australian encephalitis,2020-10-13
A835,California encephalitis,2020-10-13
A836,Rocio virus disease,2020-10-13
A838,Other mosquito-borne viral encephalitis,2020-10-13
A839,"Mosquito-borne viral encephalitis, unspecified",2020-10-13
A84,,2020-10-13
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],2020-10-13
A841,Central European tick-borne encephalitis,2020-10-13
A848,Other tick-borne viral encephalitis,2020-10-13
A849,"Tick-borne viral encephalitis, unspecified",2020-10-13
A85,,2020-10-13
A850,Enteroviral encephalitis,2020-10-13
A851,Adenoviral encephalitis,2020-10-13
A852,"Arthropod-borne viral encephalitis, unspecified",2020-10-13
A858,Other specified viral encephalitis,2020-10-13
A86,,2020-10-13
A87,,2020-10-13
A870,Enteroviral meningitis,2020-10-13
A871,Adenoviral meningitis,2020-10-13
A872,Lymphocytic choriomeningitis,2020-10-13
A878,Other viral meningitis,2020-10-13
A879,"Viral meningitis, unspecified",2020-10-13
A88,,2020-10-13
A880,Enteroviral exanthematous fever [Boston exanthem],2020-10-13
A881,Epidemic vertigo,2020-10-13
A888,Other specified viral infections of central nervous system,2020-10-13
A89,,2020-10-13
A92,,2020-10-13
A920,Chikungunya virus disease,2020-10-13
A921,O'nyong-nyong fever,2020-10-13
A922,Venezuelan equine fever,2020-10-13
A923,West Nile virus infection,2020-10-13
A924,Rift Valley fever,2020-10-13
A925,Zika virus disease,2020-10-13
A928,Other specified mosquito-borne viral fevers,2020-10-13
A929,"Mosquito-borne viral fever, unspecified",2020-10-13
A93,,2020-10-13
A930,Oropouche virus disease,2020-10-13
A931,Sandfly fever,2020-10-13
A932,Colorado tick fever,2020-10-13
A938,Other specified arthropod-borne viral fevers,2020-10-13
A94,,2020-10-13
A95,,2020-10-13
A950,Sylvatic yellow fever,2020-10-13
A951,Urban yellow fever,2020-10-13
A959,"Yellow fever, unspecified",2020-10-13
A96,,2020-10-13
A960,Junin haemorrhagic fever,2020-10-13
A961,Machupo haemorrhagic fever,2020-10-13
A962,Lassa fever,2020-10-13
A968,Other arenaviral haemorrhagic fevers,2020-10-13
A969,"Arenaviral haemorrhagic fever, unspecified",2020-10-13
A97,,2020-10-13
A970,Dengue without warning signs,2020-10-13
A971,Dengue with warning signs,2020-10-13
A972,Severe Dengue,2020-10-13
A979,"Dengue, unspecified",2020-10-13
A98,,2020-10-13
A980,Crimean-Congo haemorrhagic fever,2020-10-13
A981,Omsk haemorrhagic fever,2020-10-13
A982,Kyasanur Forest disease,2020-10-13
A983,Marburg virus disease,2020-10-13
A984,Ebola virus disease,2020-10-13
A985,Haemorrhagic fever with renal syndrome,2020-10-13
A988,Other specified viral haemorrhagic fevers,2020-10-13
A99,,2020-10-13
B00,,2020-10-13
B000,Eczema herpeticum,2020-10-13
B001,Herpesviral vesicular dermatitis,2020-10-13
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,2020-10-13
B003,Herpesviral meningitis,2020-10-13
B004,Herpesviral encephalitis,2020-10-13
B005,Herpesviral ocular disease,2020-10-13
B007,Disseminated herpesviral disease,2020-10-13
B008,Other forms of herpesviral infection,2020-10-13
B009,"Herpesviral infection, unspecified",2020-10-13
B01,,2020-10-13
B010,Varicella meningitis,2020-10-13
B011,Varicella encephalitis,2020-10-13
B012,Varicella pneumonia,2020-10-13
B018,Varicella with other complications,2020-10-13
B019,Varicella without complication,2020-10-13
B02,,2020-10-13
B020,Zoster encephalitis,2020-10-13
B021,Zoster meningitis,2020-10-13
B022,Zoster with other nervous system involvement,2020-10-13
B023,Zoster ocular disease,2020-10-13
B027,Disseminated zoster,2020-10-13
B028,Zoster with other complications,2020-10-13
B029,Zoster without complication,2020-10-13
B03,,2020-10-13
B04,,2020-10-13
B05,,2020-10-13
B050,Measles complicated by encephalitis,2020-10-13
B051,Measles complicated by meningitis,2020-10-13
B052,Measles complicated by pneumonia,2020-10-13
B053,Measles complicated by otitis media,2020-10-13
B054,Measles with intestinal complications,2020-10-13
B058,Measles with other complications,2020-10-13
B059,Measles without complication,2020-10-13
B06,,2020-10-13
B060,Rubella with neurological complications,2020-10-13
B068,Rubella with other complications,2020-10-13
B069,Rubella without complication,2020-10-13
B07,,2020-10-13
B08,,2020-10-13
B080,Other orthopoxvirus infections,2020-10-13
B081,Molluscum contagiosum,2020-10-13
B082,Exanthema subitum [sixth disease],2020-10-13
B083,Erythema infectiosum [fifth disease],2020-10-13
B084,Enteroviral vesicular stomatitis with exanthem,2020-10-13
B085,Enteroviral vesicular pharyngitis,2020-10-13
B088,Other specified viral infections characterized by skin and mucous membrane lesions,2020-10-13
B09,,2020-10-13
B15,,2020-10-13
B150,Hepatitis A with hepatic coma,2020-10-13
B159,Hepatitis A without hepatic coma,2020-10-13
B16,,2020-10-13
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,2020-10-13
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,2020-10-13
B162,Acute hepatitis B without delta-agent with hepatic coma,2020-10-13
B169,Acute hepatitis B without delta-agent and without hepatic coma,2020-10-13
B17,,2020-10-13
B170,Acute delta-(super)infection in chronic hepatitis B,2020-10-13
B171,Acute hepatitis C,2020-10-13
B172,Acute hepatitis E,2020-10-13
B178,Other specified acute viral hepatitis,2020-10-13
B179,"Acute viral hepatitis, unspecified",2020-10-13
B18,,2020-10-13
B180,Chronic viral hepatitis B with delta-agent,2020-10-13
B1800,Chronic viral hepatitis B with delta-agent,2020-10-13
B1809,Chronic viral hepatitis B with delta-agent,2020-10-13
B181,Chronic viral hepatitis B without delta-agent,2020-10-13
B1810,Chronic viral hepatitis B without delta-agent,2020-10-13
B1819,Chronic viral hepatitis B without delta-agent,2020-10-13
B182,Chronic viral hepatitis C,2020-10-13
B188,Other chronic viral hepatitis,2020-10-13
B189,"Chronic viral hepatitis, unspecified",2020-10-13
B19,,2020-10-13
B190,Unspecified viral hepatitis with hepatic coma,2020-10-13
B199,Unspecified viral hepatitis without hepatic coma,2020-10-13
B20,,2020-10-13
B200,HIV disease resulting in mycobacterial infection,2020-10-13
B201,HIV disease resulting in other bacterial infections,2020-10-13
B202,HIV disease resulting in cytomegaloviral disease,2020-10-13
B203,HIV disease resulting in other viral infections,2020-10-13
B204,HIV disease resulting in candidiasis,2020-10-13
B205,HIV disease resulting in other mycoses,2020-10-13
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,2020-10-13
B207,HIV disease resulting in multiple infections,2020-10-13
B208,HIV disease resulting in other infectious and parasitic diseases,2020-10-13
B209,HIV disease resulting in unspecified infectious or parasitic disease,2020-10-13
B21,,2020-10-13
B210,HIV disease resulting in Kaposi sarcoma,2020-10-13
B211,HIV disease resulting in Burkitt lymphoma,2020-10-13
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,2020-10-13
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",2020-10-13
B217,HIV disease resulting in multiple malignant neoplasms,2020-10-13
B218,HIV disease resulting in other malignant neoplasms,2020-10-13
B219,HIV disease resulting in unspecified malignant neoplasm,2020-10-13
B22,,2020-10-13
B220,HIV disease resulting in encephalopathy,2020-10-13
B221,HIV disease resulting in lymphoid interstitial pneumonitis,2020-10-13
B222,HIV disease resulting in wasting syndrome,2020-10-13
B227,HIV disease resulting in multiple diseases classified elsewhere,2020-10-13
B23,,2020-10-13
B230,Acute HIV infection syndrome,2020-10-13
B231,HIV disease resulting in (persistent) generalized lymphadenopathy,2020-10-13
B232,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",2020-10-13
B238,HIV disease resulting in other specified conditions,2020-10-13
B24,,2020-10-13
B25,,2020-10-13
B250,Cytomegaloviral pneumonitis,2020-10-13
B251,Cytomegaloviral hepatitis,2020-10-13
B252,Cytomegaloviral pancreatitis,2020-10-13
B258,Other cytomegaloviral diseases,2020-10-13
B259,"Cytomegaloviral disease, unspecified",2020-10-13
B26,,2020-10-13
B260,Mumps orchitis,2020-10-13
B261,Mumps meningitis,2020-10-13
B262,Mumps encephalitis,2020-10-13
B263,Mumps pancreatitis,2020-10-13
B268,Mumps with other complications,2020-10-13
B269,Mumps without complication,2020-10-13
B27,,2020-10-13
B270,Gammaherpesviral mononucleosis,2020-10-13
B271,Cytomegaloviral mononucleosis,2020-10-13
B278,Other infectious mononucleosis,2020-10-13
B279,"Infectious mononucleosis, unspecified",2020-10-13
B30,,2020-10-13
B300,Keratoconjunctivitis due to adenovirus,2020-10-13
B301,Conjunctivitis due to adenovirus,2020-10-13
B302,Viral pharyngoconjunctivitis,2020-10-13
B303,Acute epidemic haemorrhagic conjunctivitis (enteroviral),2020-10-13
B308,Other viral conjunctivitis,2020-10-13
B309,"Viral conjunctivitis, unspecified",2020-10-13
B33,,2020-10-13
B330,Epidemic myalgia,2020-10-13
B331,Ross River disease,2020-10-13
B332,Viral carditis,2020-10-13
B333,"Retrovirus infections, not elsewhere classified",2020-10-13
B334,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],2020-10-13
B338,Other specified viral diseases,2020-10-13
B34,,2020-10-13
B340,"Adenovirus infection, unspecified site",2020-10-13
B341,"Enterovirus infection, unspecified site",2020-10-13
B342,"Coronavirus infection, unspecified site",2020-10-13
B343,"Parvovirus infection, unspecified site",2020-10-13
B344,"Papovavirus infection, unspecified site",2020-10-13
B348,Other viral infections of unspecified site,2020-10-13
B349,"Viral infection, unspecified",2020-10-13
B35,,2020-10-13
B350,Tinea barbae and tinea capitis,2020-10-13
B351,Tinea unguium,2020-10-13
B352,Tinea manuum,2020-10-13
B353,Tinea pedis,2020-10-13
B354,Tinea corporis,2020-10-13
